STT;SBD;GioiTinh;KV;HocLuc;HanhKiem;DTBLop12;MaHuyen;MaTruongPT;TO;VA;LI;HO;SI;SU;DI;GDCD;NN;
13416;37013416;Nu;2NT;Kha;Tot;7,3;03;043;3,2;6;;;;5;6,5;8,25;3,6;
13417;37013417;Nu;;Kha;Tot;7,1;03;043;3,6;5;;;;4,5;6,25;9,5;5,6;
13418;37013418;Nu;;Kha;Kha;7,1;03;043;3,4;5,25;;;;6,25;5;8,25;4;
13419;37013419;Nu;;Trung binh;Tot;6,9;03;043;4,6;5,75;;;;4;5,5;7,75;2,8;
13420;37013420;Nu;2NT;Kha;Tot;8,3;03;043;7,4;7,25;;;;6;7,75;9,75;5,4;
13421;37013421;Nu;2NT;Kha;Tot;7,8;03;043;6,4;6,5;;;;4;6,75;8,25;3,6;
13422;37013422;Nu;2NT;Kha;Tot;7,2;03;043;6,2;5,25;;;;4,25;6;8,25;5,2;
13423;37013423;Nu;2NT;Gioi;Tot;8,4;03;043;8,4;6,5;8;8,25;6,5;;;;5,8;
13424;37013424;Nu;;Kha;Tot;7,7;03;043;7,2;5,5;;;;4,75;6,5;9,5;4,2;
13425;37013425;Nam;;Kha;Tot;7,4;03;043;5,2;5;;;;5,25;6,25;8;3,4;
13426;37013426;Nam;;Kha;Tot;7,6;03;043;7,4;3,75;;;;3,75;7;8,25;3,8;
13427;37013427;Nam;2NT;Kha;Tot;7,1;03;043;6,6;3,25;;;;2,25;5,75;7;2,2;
13428;37013428;Nam;;Kha;Tot;7,4;03;043;5;5,25;;;;3,25;7;9,25;4,8;
13429;37013429;Nu;2NT;Kha;Tot;7,5;03;043;5,2;6,25;;;;4,5;6,75;8,25;3,4;
13430;37013430;Nu;;Kha;Tot;7,2;03;043;4;5,75;;;;2,75;6;7;3,8;
13431;37013431;Nu;2NT;Kha;Tot;7,7;03;043;5;5,75;;;;3,75;7;9,5;5,6;
13432;37013432;Nu;2NT;Kha;Tot;7,2;03;043;5;7,25;;;;3,25;7,25;8,25;3,8;
13433;37013433;Nu;2NT;Gioi;Tot;8,1;03;043;7,2;5,5;6;7,5;5;;;;3;
13434;37013434;Nu;2NT;Kha;Tot;7,7;03;043;7;7,25;;;;3;6,5;8,25;4,2;
13435;37013435;Nam;;Trung binh;Tot;7;03;043;4,4;6;;;;3,5;5,75;7,5;2,4;
13436;37013436;Nam;;Kha;Tot;7,2;03;043;6,6;6;;;;5;7,75;8,75;3,8;
13437;37013437;Nu;2NT;Kha;Tot;7,5;03;043;7;4,5;;;;3;6;6,75;3,4;
13438;37013438;Nu;;Kha;Tot;7,4;03;043;5,8;6,25;;;;2,75;6,25;8,25;3;
13439;37013439;Nam;;Trung binh;Tot;7;03;043;6,8;6,5;;;;3,5;6;7,25;2,2;
13440;37013440;Nam;2NT;Gioi;Tot;8,5;03;043;9;7,25;8,75;7,75;6,25;;;;6;
13441;37013441;Nam;2NT;Gioi;Tot;8;03;043;8,2;6,5;7,75;8;5,75;;;;3,8;
13442;37013442;Nam;2NT;Trung binh;Tot;6,6;03;043;6,4;5;;;;3,75;6,75;9,25;4,4;
13443;37013443;Nam;;Kha;Tot;7;03;043;3;5,5;;;;3,75;5,75;7,25;2,4;
13444;37013444;Nam;;Trung binh;Tot;6,8;03;043;5,2;3,75;;;;;;;2,4;
13445;37013445;Nam;;Kha;Tot;7,5;03;043;6;5,75;;;;7,25;7,25;9,75;3,2;
13446;37013446;Nam;;Trung binh;Kha;6,9;03;043;4,4;2,75;;;;2,25;5,75;6;3,4;
13447;37013447;Nam;;Kha;Tot;7,1;03;043;5,8;3;;;;6;9;9,25;5,4;
13448;37013448;Nu;2NT;Kha;Tot;7,8;03;043;6,8;6;;;;5;6;8,5;4,6;
13449;37013449;Nu;;Kha;Tot;7,1;03;043;3;3,5;;;;5,75;6,5;7,75;3;
13450;37013450;Nu;2NT;Kha;Tot;7,2;03;043;5,2;5;;;;5;6,5;8,75;4;
13451;37013451;Nu;2NT;Gioi;Tot;8,2;03;043;9,2;7;7,5;7,25;5;;;;3,2;
13452;37013452;Nu;2NT;Gioi;Tot;8,5;03;043;7;7,5;;;;9;8;7,5;5,2;
13453;37013453;Nam;2NT;Kha;Tot;7,8;03;043;7,4;6,25;;;;4,5;6;9,75;3;
13454;37013454;Nu;2NT;Kha;Tot;7,9;03;043;7,2;6,75;;;;4,75;7,5;8,25;4,6;
13455;37013455;Nu;1;Gioi;Tot;8,6;03;043;8,8;7,75;;;;5,25;8,25;9,5;7,8;
13456;37013456;Nu;2NT;Gioi;Tot;8,4;03;043;8,8;7,5;4,75;7,25;8,25;;;;5,8;
13457;37013457;Nam;;Kha;Tot;7,1;03;043;3,4;3,5;;;;4;6,25;8,75;3,8;
13458;37013458;Nu;2NT;Gioi;Tot;8,2;03;043;8,8;6,5;7,5;8,25;6,75;;;;5,8;
13459;37013459;Nu;2NT;Kha;Tot;7,5;03;043;6,2;5,5;;;;3,25;5;7,5;4,2;
13460;37013460;Nu;2NT;Kha;Tot;7,2;03;043;5,2;3,75;;;;3,5;5,75;7,75;4,4;
13461;37013461;Nam;;Kha;Kha;6,7;03;043;5;5,25;;;;4,5;5,75;8;3,6;
13462;37013462;Nam;;Kha;Tot;7,3;03;043;5,4;4,5;;;;4,5;6,75;7,75;3,4;
13463;37013463;Nu;;Kha;Tot;7,1;03;043;6;5,5;;;;2,5;5;6;3;
13464;37013464;Nam;2NT;Kha;Tot;7,6;03;043;7,4;7;5,25;5,75;5,25;;;;4,4;
13465;37013465;Nu;2NT;Kha;Tot;7,8;03;043;7,4;7;;;;5;7,25;9,25;4;
13466;37013466;Nam;2NT;Trung binh;Kha;6,5;03;043;5,2;4,5;;;;4,25;5,25;7,5;2,8;
